expression,reading,meaning,notes,tags
私,わたし,"I, me",,pronoun
人,ひと,person,,noun
日本,にほん,Japan,,noun
日本語,にほんご,Japanese (language),,noun
学生,がくせい,student,,noun
先生,せんせい,"teacher, doctor",Also used as an honorific,noun
学校,がっこう,school,,noun
友達,ともだち,friend,,noun
水,みず,water,,noun
お茶,おちゃ,green tea,,noun
ご飯,ごはん,"cooked rice, meal",,noun
本,ほん,book,,noun
車,くるま,car,,noun
電車,でんしゃ,train,,noun
駅,えき,station,,noun
家,いえ,house,,noun
犬,いぬ,dog,,noun
猫,ねこ,cat,,noun
山,やま,mountain,,noun
川,かわ,river,,noun
天気,てんき,weather,,noun
雨,あめ,rain,,noun
今日,きょう,today,,noun
明日,あした,tomorrow,,noun
昨日,きのう,yesterday,,noun
時間,じかん,time,,noun
お金,おかね,money,,noun
名前,なまえ,name,,noun
言葉,ことば,"word, language",,noun
手紙,てがみ,letter,,noun
食べる,たべる,to eat,,verb
飲む,のむ,to drink,,verb
見る,みる,"to see, to watch",,verb
行く,いく,to go,,verb
来る,くる,to come,,verb
する,,to do,,verb
話す,はなす,to speak,,verb
聞く,きく,"to hear, to ask",,verb
読む,よむ,to read,,verb
書く,かく,to write,,verb
買う,かう,to buy,,verb
待つ,まつ,to wait,,verb
帰る,かえる,to go home,,verb
寝る,ねる,to sleep,,verb
起きる,おきる,to get up,,verb
分かる,わかる,to understand,,verb
大きい,おおきい,big,,adjective
小さい,ちいさい,small,,adjective
新しい,あたらしい,new,,adjective
古い,ふるい,old (things),,adjective
高い,たかい,"tall, expensive",,adjective
安い,やすい,cheap,,adjective
暑い,あつい,hot (weather),,adjective
寒い,さむい,cold (weather),,adjective
美味しい,おいしい,delicious,,adjective
好き,すき,liked,,adjective
元気,げんき,"healthy, energetic",,adjective
静か,しずか,quiet,,adjective
ありがとう,,thank you,,expression
すみません,,"excuse me, sorry",,expression
